datetime,city,weather_main,weather_description,temp,feels_like,pressure,wind_speed
1711909154,Moscow,Clouds,overcast clouds,11.56,10.86,1017,2.89
1711909154,Moscow,Clouds,overcast clouds,11.56,10.86,1017,2.89
1711909594,Moscow,Clouds,overcast clouds,11.79,11.11,1017,2.89
1711909594,Moscow,Clouds,overcast clouds,11.79,11.11,1017,2.89
1712912348,Moscow,Clouds,scattered clouds,11.97,10.71,1014,7.55
1712912041,Moscow,Clouds,scattered clouds,11.97,10.71,1014,7.55
1712912348,Moscow,Clouds,scattered clouds,11.97,10.71,1014,7.55
1712912348,Moscow,Clouds,scattered clouds,11.97,10.71,1014,7.55
1712912348,Moscow,Clouds,scattered clouds,11.97,10.71,1014,7.55
